"theta_w","beta_w","lbeta_1","phi_1","chk11","chk21","chk22","logLike"
6262.84696329144,21.480581161236,4.07404139093198,341.791389328966,6.69694760091012,51.755462837236,56.3253566462619,-6243.95077298308
6263.00196929514,21.5975520308705,4.07341873538365,341.800832560369,6.69671693125762,51.7859765373568,56.337795913788,-6243.94944406581
6267.26657934226,21.702443596898,4.07341611389788,341.801688304849,6.69614746648975,51.8154500785444,56.3372567669415,-6243.94851850452
6273.79261306504,21.7802841619785,4.07386313448377,341.793420862792,6.69544336414495,51.8389549133201,56.3272754142792,-6243.9479008164
6280.44789634425,21.8222181016172,4.07451914880702,341.777821319177,6.69480186492936,51.8530459697432,56.3126469998083,-6243.94751798846
6285.52428616337,21.8304618800024,4.07514229185694,341.75848037845,6.69435869493579,51.8574776412961,56.2982736158651,-6243.94729893562
6288.14351163089,21.8158189075496,4.07555780783095,341.739912504158,6.69416391931109,51.854620021363,56.2880208043595,-6243.94718710648
6288.57291403788,21.7934953211794,4.07572179164752,341.725478212371,6.69416868064381,51.8486075820462,56.2831944525116,-6243.94713741732
6287.80668003275,21.7761728131563,4.07570129309492,341.716462352867,6.6942706021012,51.8433474968817,56.2826810571933,-6243.94711932458
6286.91071207784,21.7681425091439,4.07561643069467,341.711459015556,6.69436793928033,51.8405181001152,56.2839039601889,-6243.94711399112
6286.38341487949,21.7664968892336,4.07554890970123,341.708290589311,6.69442307102105,51.8396520739803,56.2849508074317,-6243.94711262238
6286.15018848218,21.7668730538146,4.07551093025644,341.705523976059,6.69444753502631,51.8394988896334,56.2854293846346,-6243.94711219213
